Designator,Mid X,Mid Y,Rotation,Layer
D1,66.675,-56.1975,90.0,top
D10,117.475,-75.2475,90.0,top
D11,136.525,-75.2475,90.0,top
D12,155.575,-75.2475,90.0,top
D13,174.625,-75.2475,90.0,top
D14,76.2,-94.2975,90.0,top
D15,104.775,-94.2975,90.0,top
D16,123.825,-94.2975,90.0,top
D17,142.875,-94.2975,90.0,top
D18,161.925,-94.2975,90.0,top
D19,180.975,-94.2975,90.0,top
D2,85.725,-56.1975,90.0,top
D20,82.55,-115.2525,90.0,top
D21,117.475,-113.3475,90.0,top
D22,136.525,-113.3475,90.0,top
D23,155.575,-113.3475,90.0,top
D24,174.625,-113.3475,90.0,top
D25,193.675,-113.3475,90.0,top
D26,69.85,-132.3975,90.0,top
D27,95.25,-132.3975,90.0,top
D28,120.65,-132.3975,90.0,top
D29,169.8625,-132.3975,90.0,top
D3,104.775,-56.1975,90.0,top
D4,123.825,-56.1975,90.0,top
D5,142.875,-56.1975,90.0,top
D6,161.925,-56.1975,90.0,top
D7,180.975,-56.1975,90.0,top
D8,73.025,-77.1525,90.0,top
D9,98.425,-75.2475,90.0,top
S1,57.15,-57.15,0.0,top
S10,107.95,-76.2,0.0,top
S11,127.0,-76.2,0.0,top
S12,146.05,-76.2,0.0,top
S13,165.1,-76.2,0.0,top
S14,66.675,-95.25,0.0,top
S15,95.25,-95.25,0.0,top
S16,114.3,-95.25,0.0,top
S17,133.35,-95.25,0.0,top
S18,152.4,-95.25,0.0,top
S19,171.45,-95.25,0.0,top
S2,76.2,-57.15,0.0,top
S20,73.025,-114.3,0.0,top
S21,107.95,-114.3,0.0,top
S22,127.0,-114.3,0.0,top
S23,146.05,-114.3,0.0,top
S24,165.1,-114.3,0.0,top
S25,184.15,-114.3,0.0,top
S26,60.325,-133.35,0.0,top
S27,85.725,-133.35,0.0,top
S28,111.125,-133.35,0.0,top
S29,160.3375,-133.35,0.0,top
S3,95.25,-57.15,0.0,top
S4,114.3,-57.15,0.0,top
S5,133.35,-57.15,0.0,top
S6,152.4,-57.15,0.0,top
S7,171.45,-57.15,0.0,top
S8,63.5,-76.2,0.0,top
S9,88.9,-76.2,0.0,top
U1,94.225,-29.21,90.0,top
